Dataset,File,Method,MissingRate,ARI,OriginalEntropy,OriginalMutInfo,ImputedEntropy,ImputedMutInfo,ClusteringTimeSec,NClusters,NRows,NCols
parkinson_data.clean,parkinson_data.clean_famd_0.05_imputed.csv,0.05,0.05,0.6414700231390865,0.3725863421041437,0.11958524544456939,0.5524951143251136,0.12454720362480565,0.7369468212127686,2,195,23
parkinson_data.clean,parkinson_data.clean_famd_0.10_imputed.csv,0.10,0.1,1,0.3725863421041437,0.11958524544456939,0.3725863421041437,0.11823229132716051,0.6318140029907227,2,195,23
parkinson_data.clean,parkinson_data.clean_famd_0.15_imputed.csv,0.15,0.15,1,0.3725863421041437,0.11958524544456939,0.3725863421041437,0.10943874744052629,0.7247469425201416,2,195,23
parkinson_data.clean,parkinson_data.clean_mice_0.05_imputed.csv,0.05,0.05,0.9545248330788945,0.3725863421041437,0.11958524544456939,0.35335933502142436,0.10672443836172985,0.7128019332885742,2,195,23
parkinson_data.clean,parkinson_data.clean_mice_0.10_imputed.csv,0.10,0.1,0.9067996115632465,0.3725863421041437,0.11958524544456939,0.33352200393097964,0.07745729556651426,0.8857851028442383,2,195,23
parkinson_data.clean,parkinson_data.clean_mice_0.15_imputed.csv,0.15,0.15,0.856562938332243,0.3725863421041437,0.11958524544456939,0.3130269921111489,0.06624723986190251,0.7843680381774902,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_1.csv,imp,0.05,0.40534638817484764,0.3725863421041437,0.11958524544456939,0.7115523492017066,0.008772192893548691,0.7718479633331299,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_2.csv,imp,0.05,0.13469230703969082,0.3725863421041437,0.11958524544456939,0.9374561707820057,0.007056132837194973,0.9079909324645996,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_3.csv,imp,0.05,0.11373900982126958,0.3725863421041437,0.11958524544456939,0.9539603241039019,0.006434108421179197,0.8541300296783447,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_4.csv,imp,0.05,0.09466381119323462,0.3725863421041437,0.11958524544456939,0.9678716293485619,0.0065897633013962675,0.7918541431427002,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imp_5.csv,imp,0.05,0.12926405800965243,0.3725863421041437,0.11958524544456939,0.9418285354475167,0.006378694147204378,0.8404359817504883,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_imputed.csv,0.05,0.05,0.3422395218790746,0.3725863421041437,0.11958524544456939,0.7611027932592782,0.014421154565177119,0.7838809490203857,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.05_pooled.csv,0.05,0.05,0.3422395218790746,0.3725863421041437,0.11958524544456939,0.7611027932592782,0.014421154565177119,0.8074460029602051,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_1.csv,imp,0.1,0.07312300161046847,0.3725863421041437,0.11958524544456939,0.9816919182029494,0.002622753813508183,0.9547531604766846,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_2.csv,imp,0.1,0.07212648514208987,0.3725863421041437,0.11958524544456939,0.973871469950691,0.0033135663102887847,0.7789251804351807,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_3.csv,imp,0.1,0.05041187697456239,0.3725863421041437,0.11958524544456939,0.9881108365218307,0.0033232129737772453,0.7555539608001709,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_4.csv,imp,0.1,0.09466381119323462,0.3725863421041437,0.11958524544456939,0.9678716293485619,0.00402877205090757,0.8107008934020996,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imp_5.csv,imp,0.1,0.06829149237170883,0.3725863421041437,0.11958524544456939,0.9766349114440107,0.003412198209519879,0.7832629680633545,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_imputed.csv,0.10,0.1,0.07212648514208987,0.3725863421041437,0.11958524544456939,0.973871469950691,0.00544691876715131,0.7817850112915039,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.10_pooled.csv,0.10,0.1,0.07212648514208987,0.3725863421041437,0.11958524544456939,0.973871469950691,0.00544691876715131,0.7951638698577881,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imp_1.csv,imp,0.15,0.03316646665913884,0.3725863421041437,0.11958524544456939,0.9984628557283832,0.0011380392512174708,0.9738650321960449,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imp_2.csv,imp,0.15,-0.00773095939621367,0.3725863421041437,0.11958524544456939,0.9931408266470221,0.0016517723713302956,0.8078470230102539,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imp_3.csv,imp,0.15,-0.0014522516874054725,0.3725863421041437,0.11958524544456939,0.9967916319816372,0.0013744712555689986,0.864861011505127,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imp_4.csv,imp,0.15,0.04707908386399452,0.3725863421041437,0.11958524544456939,0.9899412865441479,0.002026789960309472,0.845289945602417,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imp_5.csv,imp,0.15,-0.005688753082886021,0.3725863421041437,0.11958524544456939,0.9945106032895676,0.0017984139045399417,0.8331699371337891,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_imputed.csv,0.15,0.15,0.05018705153329503,0.3725863421041437,0.11958524544456939,0.9931408266470221,0.0022972547823183476,0.8977389335632324,2,195,23
parkinson_data.clean,parkinson_data.clean_midas_0.15_pooled.csv,0.15,0.15,0.05018705153329503,0.3725863421041437,0.11958524544456939,0.9931408266470221,0.0022972547823183476,0.7975399494171143,2,195,23
parkinson_data.clean,parkinson_data.clean_missforest_0.05_imputed.csv,0.05,0.05,0.6414700231390865,0.3725863421041437,0.11958524544456939,0.5524951143251136,0.1323169213004265,0.7910811901092529,2,195,23
parkinson_data.clean,parkinson_data.clean_missforest_0.10_imputed.csv,0.10,0.1,0.6414700231390865,0.3725863421041437,0.11958524544456939,0.5524951143251136,0.1345289868229127,0.7381539344787598,2,195,23
parkinson_data.clean,parkinson_data.clean_missforest_0.15_imputed.csv,0.15,0.15,1,0.3725863421041437,0.11958524544456939,0.3725863421041437,0.13361152755658612,0.6049389839172363,2,195,23
